date,frame,count,total_videos_in_date,prevalence
2020-01-01,"Nature, landscape & tourism",35,138,0.253623
2020-01-01,Geopolitics & strategic competition,24,138,0.173913
2020-01-01,"Society, culture & everyday life",13,138,0.094203
2020-01-01,"Knowledge, facts & educational content",30,138,0.217391
2020-01-01,Climate change & environmental risk,3,138,0.021739
2020-02-01,"Entertainment, memes & low-context content",37,154,0.240260
2020-02-01,"Nature, landscape & tourism",38,154,0.246753
2020-02-01,Geopolitics & strategic competition,36,154,0.233766
2020-02-01,"Society, culture & everyday life",10,154,0.064935
2020-02-01,"Knowledge, facts & educational content",28,154,0.181818
2020-02-01,Climate change & environmental risk,5,154,0.032468
2020-03-01,"Entertainment, memes & low-context content",36,164,0.219512
2020-03-01,"Nature, landscape & tourism",43,164,0.262195
2020-03-01,Geopolitics & strategic competition,39,164,0.237805
2020-03-01,"Society, culture & everyday life",17,164,0.103659
2020-03-01,"Knowledge, facts & educational content",26,164,0.158537
2020-03-01,Climate change & environmental risk,3,164,0.018293
2020-04-01,"Entertainment, memes & low-context content",49,196,0.250000
2020-04-01,"Nature, landscape & tourism",56,196,0.285714
2020-04-01,Geopolitics & strategic competition,52,196,0.265306
2020-04-01,"Society, culture & everyday life",10,196,0.051020
2020-04-01,"Knowledge, facts & educational content",27,196,0.137755
2020-04-01,Climate change & environmental risk,2,196,0.010204
2020-05-01,"Entertainment, memes & low-context content",45,157,0.286624
2020-05-01,"Nature, landscape & tourism",44,157,0.280255
2020-05-01,Geopolitics & strategic competition,32,157,0.203822
2020-05-01,"Society, culture & everyday life",9,157,0.057325
2020-05-01,"Knowledge, facts & educational content",24,157,0.152866
2020-05-01,Climate change & environmental risk,3,157,0.019108
2020-06-01,"Entertainment, memes & low-context content",28,99,0.282828
2020-06-01,"Nature, landscape & tourism",19,99,0.191919
2020-06-01,Geopolitics & strategic competition,27,99,0.272727
2020-06-01,"Society, culture & everyday life",10,99,0.101010
2020-06-01,"Knowledge, facts & educational content",13,99,0.131313
2020-06-01,Climate change & environmental risk,2,99,0.020202
2020-07-01,"Entertainment, memes & low-context content",33,115,0.286957
2020-07-01,"Nature, landscape & tourism",34,115,0.295652
2020-07-01,Geopolitics & strategic competition,22,115,0.191304
2020-07-01,"Society, culture & everyday life",10,115,0.086957
2020-07-01,"Knowledge, facts & educational content",11,115,0.095652
2020-07-01,Climate change & environmental risk,5,115,0.043478
2020-08-01,"Entertainment, memes & low-context content",26,146,0.178082
2020-08-01,"Nature, landscape & tourism",34,146,0.232877
2020-08-01,Geopolitics & strategic competition,30,146,0.205479
2020-08-01,"Society, culture & everyday life",30,146,0.205479
2020-08-01,"Knowledge, facts & educational content",24,146,0.164384
2020-08-01,Climate change & environmental risk,2,146,0.013699
2020-09-01,"Entertainment, memes & low-context content",18,110,0.163636
2020-09-01,"Nature, landscape & tourism",37,110,0.336364
2020-09-01,Geopolitics & strategic competition,24,110,0.218182
2020-09-01,"Society, culture & everyday life",9,110,0.081818
2020-09-01,"Knowledge, facts & educational content",18,110,0.163636
2020-09-01,Climate change & environmental risk,4,110,0.036364
